dead;20 dead;http://dbpedia.org/ontology/causalties
killed;10 civilians killed;http://dbpedia.org/ontology/causalties
dutch;dutch republic;http://dbpedia.org/ontology/causalties
lost;23 warships lost;http://dbpedia.org/ontology/causalties
killed;8 killed;http://dbpedia.org/ontology/causalties
american;american casualties;http://dbpedia.org/ontology/causalties
dead;2 dead;http://dbpedia.org/ontology/causalties
killed;1 killed;http://dbpedia.org/ontology/causalties
wounded;5 wounded;http://dbpedia.org/ontology/causalties
killed;90 killed;http://dbpedia.org/ontology/causalties
wounded;240 wounded;http://dbpedia.org/ontology/causalties
killed;300 killed;http://dbpedia.org/ontology/causalties
dead;38 dead;http://dbpedia.org/ontology/causalties
wounded;141 wounded;http://dbpedia.org/ontology/causalties
killed;11 civilians killed;http://dbpedia.org/ontology/causalties
killed;160 israelis killed;http://dbpedia.org/ontology/causalties
by;- 644\u2013773 israeli civilians killed by palestinians;;http://dbpedia.org/ontology/causalties
by;- 215\u2013301 israeli security force personnel killed by palestinians;http://dbpedia.org/ontology/causalties
dead;479+ dead;http://dbpedia.org/ontology/causalties
wounded;720 wounded;http://dbpedia.org/ontology/causalties
marine;200 marine vessels;http://dbpedia.org/ontology/causalties
soviet;soviet forces:;http://dbpedia.org/ontology/causalties
missing;265 missing;http://dbpedia.org/ontology/causalties
afghan;afghan forces:;http://dbpedia.org/ontology/causalties
killed;17 killed;http://dbpedia.org/ontology/causalties
wounded;15 wounded;http://dbpedia.org/ontology/causalties
according;300 according todiodorus;http://dbpedia.org/ontology/causalties
killed;77 killed;http://dbpedia.org/ontology/causalties
lost;2 warships lost;http://dbpedia.org/ontology/causalties
wounded;80 killed or wounded;http://dbpedia.org/ontology/causalties
lost;11 ships lost;http://dbpedia.org/ontology/causalties
wounded;unknown estimated 50-65 killed 70-80 wounded;http://dbpedia.org/ontology/causalties
killed;11 killed;http://dbpedia.org/ontology/causalties
wounded;9 wounded;http://dbpedia.org/ontology/causalties
wounded;400 killed & wounded;http://dbpedia.org/ontology/causalties
high;high;http://dbpedia.org/ontology/causalties
killed;18 killed;http://dbpedia.org/ontology/causalties
wounded;73 wounded;http://dbpedia.org/ontology/causalties
wounded;7 wounded;http://dbpedia.org/ontology/causalties
wounded;2 wounded;http://dbpedia.org/ontology/causalties
wounded;18 killed and about 40 wounded;http://dbpedia.org/ontology/causalties
high;figures for wounded possibly as high as 139;http://dbpedia.org/ontology/causalties
lost;1 standard lost;http://dbpedia.org/ontology/causalties
killed;181 killed;http://dbpedia.org/ontology/causalties
wounded;480 wounded;http://dbpedia.org/ontology/causalties
french;french colonies:;http://dbpedia.org/ontology/causalties
many;spanish indian allies: many;http://dbpedia.org/ontology/causalties
killed;667 killed;http://dbpedia.org/ontology/causalties
lost;10 ships lost;http://dbpedia.org/ontology/causalties
outside;at least 161 killed outside chechnya;http://dbpedia.org/ontology/causalties
killed;3\u20134 killed;http://dbpedia.org/ontology/causalties
killed;69 killed;http://dbpedia.org/ontology/causalties
wounded;451 wounded;http://dbpedia.org/ontology/causalties
killed;500 killed;http://dbpedia.org/ontology/causalties
killed;55 killed;http://dbpedia.org/ontology/causalties
wounded;185 wounded;http://dbpedia.org/ontology/causalties
missing;93 missing;http://dbpedia.org/ontology/causalties
killed;15 killed in action;http://dbpedia.org/ontology/causalties
dead;3 missing in action and presumed dead;http://dbpedia.org/ontology/causalties
killed;23 killed en-route in helicopter failure;http://dbpedia.org/ontology/causalties
wounded;50 wounded;http://dbpedia.org/ontology/causalties
destroyed;3 ch-53 helicopters destroyed;http://dbpedia.org/ontology/causalties
killed;350 killed;http://dbpedia.org/ontology/causalties
wounded;850 wounded;http://dbpedia.org/ontology/causalties
killed;14 killed;http://dbpedia.org/ontology/causalties
lost;17 ships lost;http://dbpedia.org/ontology/causalties
killed;32 killed;http://dbpedia.org/ontology/causalties
wounded;102 wounded;http://dbpedia.org/ontology/causalties
killed;193 killed;http://dbpedia.org/ontology/causalties
wounded;640 wounded;http://dbpedia.org/ontology/causalties
or;dead or wounded:;http://dbpedia.org/ontology/causalties
spanish;6 spanish;http://dbpedia.org/ontology/causalties
wounded;unknown killed and wounded;http://dbpedia.org/ontology/causalties
killed;20 killed;http://dbpedia.org/ontology/causalties
wounded;600 wounded;http://dbpedia.org/ontology/causalties
light;unknown but light;http://dbpedia.org/ontology/causalties
killed;100 killed;http://dbpedia.org/ontology/causalties
wounded;500 wounded;http://dbpedia.org/ontology/causalties
killed;241 killed;http://dbpedia.org/ontology/causalties
dead;657 dead;http://dbpedia.org/ontology/causalties
or;900 missing or captured;http://dbpedia.org/ontology/causalties
wounded;720 killed and wounded;http://dbpedia.org/ontology/causalties
wounded;650 dead or wounded;http://dbpedia.org/ontology/causalties
or;all 151 guns captured or destroyed.;http://dbpedia.org/ontology/causalties
killed;88 killed;http://dbpedia.org/ontology/causalties
wounded;301 wounded;http://dbpedia.org/ontology/causalties
killed;108 killed;http://dbpedia.org/ontology/causalties
missing;23 missing;http://dbpedia.org/ontology/causalties
lost;3 cannons lost;http://dbpedia.org/ontology/causalties
killed;58 killed;http://dbpedia.org/ontology/causalties
missing;89 missing;http://dbpedia.org/ontology/causalties
wounded;256 wounded;http://dbpedia.org/ontology/causalties
united;united states:;http://dbpedia.org/ontology/causalties
killed;19 killed;http://dbpedia.org/ontology/causalties
wounded;116 wounded;http://dbpedia.org/ontology/causalties
most;sultan murad h\u00fcdavendig\u00e2r and most of his troops;http://dbpedia.org/ontology/causalties
killed;115 killed;http://dbpedia.org/ontology/causalties
wounded;305 wounded;http://dbpedia.org/ontology/causalties
killed;630 killed;http://dbpedia.org/ontology/causalties
wounded;208 wounded;http://dbpedia.org/ontology/causalties
over;over 600;http://dbpedia.org/ontology/causalties
killed;at least 9 killed;http://dbpedia.org/ontology/causalties
dead;~550 dead;http://dbpedia.org/ontology/causalties
killed;and 106 fsb and gru operatives killed;http://dbpedia.org/ontology/causalties
lost;13 ships lost;http://dbpedia.org/ontology/causalties
by;36 ships captured and seized by the ottomans;;http://dbpedia.org/ontology/causalties
military;519 british military personnel;http://dbpedia.org/ontology/causalties
killed;127 civilians killed;http://dbpedia.org/ontology/causalties
dead;israel: 657 dead;http://dbpedia.org/ontology/causalties
dead;500 dead;http://dbpedia.org/ontology/causalties
enemy;147 killed by enemy action;http://dbpedia.org/ontology/causalties
wounded;467 wounded in action;http://dbpedia.org/ontology/causalties
killed;total: 292 killed;http://dbpedia.org/ontology/causalties
wounded;776 wounded;http://dbpedia.org/ontology/causalties
killed;200 killed;http://dbpedia.org/ontology/causalties
killed;600 killed;http://dbpedia.org/ontology/causalties
cuban;cuban army:;http://dbpedia.org/ontology/causalties
killed;176 killed;http://dbpedia.org/ontology/causalties
wounded;500+ wounded;http://dbpedia.org/ontology/causalties
cuban;cuban militia and police:;http://dbpedia.org/ontology/causalties
killed;1 engineer killed;http://dbpedia.org/ontology/causalties
approx.;200 approx.;http://dbpedia.org/ontology/causalties
light;1 light carrier;http://dbpedia.org/ontology/causalties
sunk;1 destroyer escort sunk;http://dbpedia.org/ontology/causalties
dead;141 dead;http://dbpedia.org/ontology/causalties
wounded;229 wounded;http://dbpedia.org/ontology/causalties
lost;2 armoured cruisers lost;http://dbpedia.org/ontology/causalties
killed;10 killed;http://dbpedia.org/ontology/causalties
wounded;19 wounded;http://dbpedia.org/ontology/causalties
lost;no ships lost;http://dbpedia.org/ontology/causalties
killed;35 killed;http://dbpedia.org/ontology/causalties
wounded;55 wounded;http://dbpedia.org/ontology/causalties
damaged;1 light cruiser heavily damaged;http://dbpedia.org/ontology/causalties
out;1 battlecruiser out of action;http://dbpedia.org/ontology/causalties
out;1 destroyer out of action;http://dbpedia.org/ontology/causalties
wounded;32 wounded;http://dbpedia.org/ontology/causalties
killed;130 killed;http://dbpedia.org/ontology/causalties
wounded;703 wounded;http://dbpedia.org/ontology/causalties
missing;29 missing;http://dbpedia.org/ontology/causalties
dead;169 dead;http://dbpedia.org/ontology/causalties
wounded;379 wounded;http://dbpedia.org/ontology/causalties
wounded;126 dead & 236 wounded;http://dbpedia.org/ontology/causalties
sunk;2 ships sunk;http://dbpedia.org/ontology/causalties
wounded;250 dead and 700 wounded;http://dbpedia.org/ontology/causalties
killed;70 or 79 killed;http://dbpedia.org/ontology/causalties
killed;311 killed;http://dbpedia.org/ontology/causalties
wounded;900 wounded;http://dbpedia.org/ontology/causalties
missing;200 missing;http://dbpedia.org/ontology/causalties
killed;172 killed;http://dbpedia.org/ontology/causalties
wounded;551 wounded;http://dbpedia.org/ontology/causalties
killed;24+ killed;http://dbpedia.org/ontology/causalties
killed;196+ killed;http://dbpedia.org/ontology/causalties
killed;857 killed;http://dbpedia.org/ontology/causalties
wounded;206 wounded;http://dbpedia.org/ontology/causalties
down;2uh-60 blackhawkhelicopters shot down;http://dbpedia.org/ontology/causalties
